 Total Nb of available Diagnostics: ndiagt=   197
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   157 |Stretch | 25 |       |SM      MR|1/s             |Vortex stretching from QG Leith dynamic viscosity
   158 |USidDrag| 25 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag| 25 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss | 25 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   161 |Vm_Diss | 25 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   162 |Um_ImplD| 25 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   163 |Vm_ImplD| 25 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   164 |Um_Advec| 25 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec| 25 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori | 25 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori | 25 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPhiX| 25 |   169 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   169 |Vm_dPhiY| 25 |   168 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   170 |Um_Ext  | 25 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  | 25 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_hDis2| 25 |   173 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   173 |Vm_hDis2| 25 |   172 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   174 |Um_hDis4| 25 |   175 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   175 |Vm_hDis4| 25 |   174 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   176 |Um_AdvZ3| 25 |   177 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   177 |Vm_AdvZ3| 25 |   176 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   178 |Um_AdvRe| 25 |   179 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   179 |Vm_AdvRe| 25 |   178 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   180 |Um_Metr | 25 |   181 |UUR     MR|m/s^2           |U momentum tendency from Metric terms
   181 |Vm_Metr | 25 |   180 |VVR     MR|m/s^2           |V momentum tendency from Metric terms
   182 |botTauX |  1 |   183 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   183 |botTauY |  1 |   182 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   184 |ADVx_Um | 25 |   185 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   185 |ADVy_Um | 25 |   184 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   186 |ADVrE_Um| 25 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   187 |ADVx_Vm | 25 |   188 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   188 |ADVy_Vm | 25 |   187 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   189 |ADVrE_Vm| 25 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   190 |VISCx_Um| 25 |   191 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   191 |VISCy_Um| 25 |   190 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   192 |VISrE_Um| 25 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   193 |VISrI_Um| 25 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   194 |VISCx_Vm| 25 |   195 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   195 |VISCy_Vm| 25 |   194 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   196 |VISrE_Vm| 25 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   197 |VISrI_Vm| 25 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
