 Total Nb of available Diagnostics: ndiagt=   197
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    97 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    98 |TOTUTEND| 15 |    99 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    99 |TOTVTEND| 15 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND| 15 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND| 15 |       |SMR     MR|g/kg/day        |Tendency of Salinity
   102 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc | 15 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   105 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   | 15 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   107 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  | 15 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   | 15 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   | 15 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH | 15 |   113 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH | 15 |   112 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH | 15 |   116 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH | 15 |   115 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   119 |ADVx_SLT| 15 |   120 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   120 |ADVy_SLT| 15 |   119 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   121 |DFrE_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   122 |DFxE_SLT| 15 |   123 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   123 |DFyE_SLT| 15 |   122 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   124 |DFrI_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   125 |SALTFILL| 15 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   126 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   127 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   128 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   129 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   130 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   131 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   132 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   133 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   134 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   135 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   136 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   150 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   152 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   153 |momHDiv | 15 |       |SMR     MR|1/s             |Horizontal Divergence (in momentum Eq.)
   154 |momVort3| 15 |       |SZR     MR|1/s             |3rd component (vertical) of Vorticity
   155 |Strain  | 15 |       |SZR     MR|1/s             |Horizontal Strain of Horizontal Velocities
   156 |Tension | 15 |       |SMR     MR|1/s             |Horizontal Tension of Horizontal Velocities
   157 |Stretch | 15 |       |SM      MR|1/s             |Vortex stretching from QG Leith dynamic viscosity
   158 |USidDrag| 15 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag| 15 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss | 15 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   161 |Vm_Diss | 15 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   162 |Um_ImplD| 15 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   163 |Vm_ImplD| 15 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   164 |Um_Advec| 15 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec| 15 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori | 15 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori | 15 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPhiX| 15 |   169 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   169 |Vm_dPhiY| 15 |   168 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   170 |Um_Ext  | 15 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  | 15 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_hDis2| 15 |   173 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   173 |Vm_hDis2| 15 |   172 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   174 |Um_hDis4| 15 |   175 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   175 |Vm_hDis4| 15 |   174 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   176 |Um_AdvZ3| 15 |   177 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   177 |Vm_AdvZ3| 15 |   176 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   178 |Um_AdvRe| 15 |   179 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   179 |Vm_AdvRe| 15 |   178 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   180 |Um_Metr | 15 |   181 |UUR     MR|m/s^2           |U momentum tendency from Metric terms
   181 |Vm_Metr | 15 |   180 |VVR     MR|m/s^2           |V momentum tendency from Metric terms
   182 |botTauX |  1 |   183 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   183 |botTauY |  1 |   182 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   184 |ADVx_Um | 15 |   185 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   185 |ADVy_Um | 15 |   184 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   186 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   187 |ADVx_Vm | 15 |   188 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   188 |ADVy_Vm | 15 |   187 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   189 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   190 |VISCx_Um| 15 |   191 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   191 |VISCy_Um| 15 |   190 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   192 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   193 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   194 |VISCx_Vm| 15 |   195 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   195 |VISCy_Vm| 15 |   194 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   196 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   197 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
